(04 a9 01 02) 332 4  (20 01 08 10) 196 3  528 7
(b5 e1 01 02) 384 4  (02 10 20 40) 204 3  588 7
(10 12 01 02) 268 4  (10 12 01 02) 268 4  536 8
(10 bd 01 02) 276 4  (80 a1 08 10) 276 4  552 8
(04 e6 01 02) 320 4  (10 1e 04 08) 256 4  576 8
(08 a5 01 02) 324 4  (40 61 08 10) 252 4  576 8
(08 94 01 02) 324 4  (10 eb 02 04) 256 4  580 8
(08 0a 01 02) 292 4  (08 0a 01 02) 292 4  584 8
(04 96 01 02) 332 4  (40 74 10 20) 260 4  592 8
(08 9a 01 02) 332 4  (80 b4 10 20) 260 4  592 8
(10 8c 01 02) 300 4  (20 db 02 04) 296 4  596 8
(10 f2 01 02) 312 4  (40 4e 04 08) 288 4  600 8
(20 bc 01 02) 308 4  (40 bb 02 04) 296 4  604 8
(04 98 01 02) 324 4  (08 f3 02 04) 280 4  604 8
(18 b5 01 02) 340 4  (c0 e1 08 10) 268 4  608 8
(04 50 01 02) 296 4  (80 92 20 40) 316 4  612 8
(24 70 01 02) 344 4  (0a 18 20 40) 268 4  612 8
(04 06 01 02) 308 4  (04 06 01 02) 308 4  616 8
(20 22 01 02) 308 4  (20 22 01 02) 308 4  616 8
(04 10 01 02) 240 4  (e3 0a 48 90) 376 4  616 8
(08 ea 01 02) 352 4  (20 2e 04 08) 264 4  616 8
(73 e1 01 02) 380 4  (3c 08 10 20) 244 4  624 8
(3b a9 01 02) 372 4  (36 02 10 20) 252 4  624 8
(12 80 01 02) 324 4  (e3 d7 10 20) 300 4  624 8
(05 a8 01 02) 364 4  (28 09 08 10) 260 4  624 8
(72 e0 01 02) 388 4  (2c 18 10 20) 236 4  624 8
(4c e1 01 02) 372 4  (25 04 08 10) 252 4  624 8
(0c 90 01 02) 324 4  (18 e3 02 04) 304 4  628 8
(48 e5 01 02) 380 4  (05 24 08 10) 252 4  632 8
(0a 98 01 02) 356 4  (a0 94 10 20) 284 4  640 8
(24 b6 01 02) 348 4  (05 31 10 20) 292 4  640 8
(05 97 01 02) 372 4  (50 64 10 20) 268 4  640 8
(70 e2 01 02) 380 4  (0c 38 10 20) 260 4  640 8
(10 82 01 02) 316 4  (c3 f7 10 20) 324 4  640 8
(1c 48 01 02) 360 4  (06 14 20 40) 284 4  644 8
(14 f6 01 02) 344 4  (50 5e 04 08) 304 4  648 8
(0c a1 01 02) 364 4  (60 41 08 10) 284 4  648 8
(12 bf 01 02) 364 4  (90 b1 08 10) 284 4  648 8
(06 e4 01 02) 376 4  (18 16 04 08) 272 4  648 8
